Id,HouseSize,DistanceToCity,HouseAge,SchoolScore,Bedrooms,Price
43,185.56,29.53,26.22,68.04,4,217836.26
44,102.16,34.67,26.52,58.82,1,95137.6
45,213.94,5.81,0.79,73.37,3,450293.5
46,208.02,16.24,13.06,69.6,1,340696.58
47,118.31,14.35,7.91,62.05,3,196422.4
48,96.99,3.72,31.13,87.59,2,226364.34
49,181.74,26.68,34.43,65.69,2,227622.76
50,65.05,15.75,9.87,63.64,3,194311.36
51,77.98,16.96,26.71,56.54,2,103040.83
52,36.58,6.12,5.17,71.94,2,181189.55
53,204.19,7.15,11.01,65.15,4,412121.6
54,177.94,31.84,5.55,68.46,5,208593.09
55,186.61,2.52,11.34,61.8,1,381983.34
56,202.86,8.92,26.99,88.16,2,360766.31
57,133.67,10.93,36.41,96.5,5,302153.08
58,157.28,17.67,8.1,74.9,3,306338.16
59,65.06,20.94,21.68,82.15,2,179413.75
60,59.62,17.77,28.06,93.36,3,188124.61
61,178.71,3.86,38.12,99.94,1,301287.98
62,136.29,9.28,24.4,80.68,1,254167.31
63,156.53,29.68,10.2,94.49,4,285163.4
64,199.47,22.68,25.02,95.43,3,348677.21
65,171.46,23.07,12.82,89.57,4,335423.29
66,154.02,23.79,39.05,73.05,2,224457.77
67,155.23,26.94,15.99,54.06,5,233340.46
68,100.35,2.98,27.42,50.79,3,192747.34
69,41.63,13.46,0.93,73.86,4,138426.37
70,128.89,19.34,16.0,74.72,1,217536.62
71,81.14,12.51,35.0,70.37,1,162926.06
72,122.83,29.71,24.41,78.41,4,155134.61
73,218.48,17.41,17.76,77.61,5,415783.78
74,85.3,27.13,37.44,91.83,5,175161.38
75,47.54,29.97,34.16,55.43,2,50000.0
76,95.5,18.16,12.89,61.26,1,94322.74
77,98.12,31.92,21.78,89.65,5,137551.82
78,177.31,20.96,19.59,92.39,4,383334.74
79,154.76,29.91,25.29,99.74,2,237220.26
80,203.54,12.58,13.36,93.65,4,373960.28
81,177.83,17.96,9.77,94.49,5,405656.22
82,122.37,19.07,36.51,65.72,2,173883.76
83,210.01,4.57,36.95,70.08,4,403080.04
84,70.9,14.55,33.73,63.4,4,147869.92
85,39.88,32.19,39.13,80.31,3,50361.89
86,54.36,22.45,29.8,96.94,4,166597.81
87,190.31,7.04,30.59,67.23,2,349175.88
88,134.3,12.52,30.5,77.85,5,324278.9
89,69.67,7.51,19.22,64.81,5,223554.75
90,142.72,1.84,18.26,58.49,5,260219.28
91,67.75,32.53,9.61,59.76,4,100364.28
92,184.71,16.24,25.79,52.9,1,296002.41
93,130.92,11.46,11.57,97.46,2,346147.96
94,116.92,21.35,10.31,70.14,3,205897.88
95,99.83,1.25,23.44,91.71,5,324063.8
96,170.51,10.45,16.4,84.07,3,374350.97
97,112.79,24.9,8.75,59.6,3,242405.22
98,53.84,22.55,32.64,58.77,1,50000.0
99,60.37,34.38,34.42,90.6,4,70614.86
100,241.81,22.09,6.71,63.24,2,385263.46
101,230.34,17.24,0.3,95.66,1,441939.46
102,185.44,26.89,13.45,57.0,5,251083.8
103,92.16,31.71,31.9,83.89,1,50000.0
104,243.37,25.5,33.57,90.72,1,367255.43
105,202.43,33.75,5.53,61.76,1,269721.14
106,189.13,27.59,30.97,63.81,3,233232.95
107,131.61,30.47,4.63,98.23,1,287050.79
108,93.53,4.88,15.6,63.23,5,239159.17
109,55.72,25.9,39.94,71.5,3,102686.52
110,229.06,15.96,7.7,71.63,2,416727.49
111,132.99,19.81,6.16,62.65,1,245951.48
112,78.51,23.24,16.91,88.79,3,190425.27
113,100.78,33.97,24.79,88.59,1,164680.24
114,159.53,34.48,37.32,68.92,5,173673.14
115,73.01,10.8,39.23,91.76,2,197065.71
116,219.17,25.95,2.79,60.65,3,351452.98
117,198.08,26.5,5.52,50.22,1,263241.33
118,189.68,12.78,31.63,78.56,1,333747.02
119,127.9,5.21,10.83,99.7,2,393234.06
120,169.87,2.39,35.39,51.93,1,263800.1
121,160.58,27.43,26.54,60.4,4,221416.12
122,174.72,17.65,4.47,75.95,5,376587.59
123,53.16,34.51,33.3,90.5,5,111199.73
124,124.4,16.81,7.05,54.45,2,216320.88
125,43.95,34.25,16.94,69.76,4,50000.0
126,141.21,14.99,22.09,87.35,3,301173.67
127,105.92,27.99,20.03,68.58,1,85417.35
128,66.07,3.88,27.45,59.44,1,194703.23
129,57.23,19.89,26.11,59.77,3,110218.52
130,161.34,28.27,39.68,70.5,3,218810.13
131,71.68,32.44,39.98,73.97,1,50000.0
132,233.9,28.97,20.66,93.09,5,357646.72
133,159.93,2.26,3.81,82.11,4,387680.22
134,109.58,13.67,29.11,84.52,3,231829.31
135,162.05,2.66,39.07,99.15,5,347138.0
136,39.9,4.72,12.73,70.59,5,197946.13
137,241.09,23.96,18.45,70.17,5,465135.48
138,138.7,25.25,16.99,96.17,2,279742.86
139,203.29,27.31,2.06,62.29,5,351373.24
140,52.79,30.43,26.89,86.49,3,118638.88
141,139.63,26.14,14.13,87.73,4,294202.05
142,140.5,28.23,31.5,54.89,5,159895.09
143,236.63,2.66,33.28,73.41,1,370314.5
144,157.92,8.97,32.85,60.03,3,259928.37
145,136.8,22.14,16.67,59.27,1,219021.41
146,92.4,30.18,12.86,73.19,2,114189.94
147,106.29,1.15,29.95,64.47,3,225980.92
148,146.94,18.5,32.06,89.8,5,263030.35
149,129.37,24.03,19.65,95.38,5,301525.12
150,39.65,2.01,35.72,90.14,2,198117.16
151,212.65,14.65,5.76,63.3,2,391443.61
152,227.67,31.45,35.16,63.71,3,296248.12
153,65.15,23.83,3.84,62.74,5,148332.06
154,154.12,9.08,6.14,56.75,5,314319.31
155,58.34,29.99,21.35,97.19,2,99381.1
156,179.53,12.83,2.7,70.1,1,284296.57
157,95.47,30.01,2.11,61.23,4,152137.7
158,176.78,11.16,0.02,92.33,2,398104.13
159,191.3,21.07,17.45,69.96,1,332952.76
160,200.26,14.5,30.98,51.76,1,326465.31
161,58.16,10.34,1.39,58.1,3,217891.48
162,231.94,31.14,26.09,81.96,2,309186.48
163,84.5,7.38,32.93,89.15,3,215138.48
164,43.04,3.88,6.72,60.55,2,186073.11
165,154.29,12.63,5.87,95.87,4,425378.19
166,114.75,25.4,34.43,92.55,4,236490.45
167,213.4,28.45,32.92,92.42,3,356298.12
168,208.77,34.96,21.56,61.38,1,229317.68
169,103.18,11.08,32.77,52.53,3,147081.36
170,239.87,14.87,3.71,93.37,4,509504.62
171,97.55,5.65,15.78,65.29,2,199435.73
172,145.74,20.55,29.51,80.95,2,234910.58
173,90.03,34.92,10.3,88.0,3,143356.62
174,236.25,24.83,30.09,56.41,2,359660.85
175,70.39,21.24,20.17,89.04,3,169208.22
176,44.66,14.34,30.01,96.93,2,107338.33
177,128.55,32.12,18.59,86.42,2,202421.89
178,248.36,17.9,14.72,72.06,4,421381.91
179,226.71,5.57,8.77,93.83,3,487762.15
180,195.95,13.42,8.34,76.37,3,376272.38
181,226.52,3.28,30.06,87.24,4,444806.89
182,227.09,7.87,4.76,91.03,2,494379.94
183,146.55,1.6,3.44,87.47,1,317293.8
184,102.92,16.41,7.05,64.39,5,212474.47
185,200.98,22.57,7.01,55.89,1,318925.59
186,177.26,12.67,32.92,61.92,3,268762.83
187,115.34,15.29,15.94,75.14,2,193851.57
188,55.31,33.61,39.62,75.26,2,50000.0
189,195.56,26.57,5.49,79.13,1,346232.54
190,91.43,19.39,26.14,69.76,5,176806.53
191,236.41,10.67,17.95,89.34,3,415959.49
192,86.81,31.5,15.72,95.66,2,178310.97
193,61.39,8.99,35.0,62.34,4,103916.39
194,213.69,12.06,39.02,86.83,1,372717.14
195,67.96,31.91,34.91,83.9,3,64191.96
196,73.54,19.0,7.69,76.15,3,158301.84
197,163.87,26.24,8.83,59.43,3,231622.29
198,223.03,21.09,26.24,89.76,1,370777.42
199,77.23,23.22,11.56,98.03,5,202819.23
200,101.72,11.18,29.39,86.09,2,242652.22
201,202.14,9.21,22.66,95.89,4,410754.92
202,243.94,11.96,22.04,99.21,4,515119.66
203,142.66,6.29,33.14,67.6,2,265299.4
204,65.94,30.73,28.42,81.91,1,70070.06
205,38.0,10.63,1.06,73.7,2,156850.29
206,84.38,20.09,1.98,99.33,5,215551.27
207,63.34,27.93,24.06,54.69,5,89203.37
208,180.7,27.65,19.45,70.62,5,268243.91
209,61.19,15.91,10.41,93.78,2,148373.43
210,143.86,17.19,16.75,64.2,4,243155.15
211,184.27,34.82,30.32,89.39,1,212315.31
212,159.94,23.94,33.06,69.14,4,269414.12
213,77.95,28.7,22.45,99.0,3,122932.3
214,207.89,31.69,15.41,94.18,4,306623.74
215,188.81,27.78,10.83,65.07,4,314401.26
216,193.88,7.3,20.88,88.51,5,444474.09
217,63.18,20.11,12.59,66.84,3,128236.67
218,61.61,4.46,22.56,80.32,2,187804.68
219,234.43,23.2,27.07,82.92,3,399084.43
220,120.48,33.48,2.64,91.48,1,139637.97
221,99.7,18.43,0.04,51.22,1,127874.69
222,140.05,15.72,8.49,61.01,3,250660.88
223,177.52,2.22,35.78,85.6,5,405237.85
224,240.46,33.63,25.85,78.18,3,324290.4
225,96.59,4.5,6.88,74.78,4,273857.97
226,233.83,2.4,35.61,52.76,1,403984.69
227,40.34,9.37,18.8,67.41,3,207095.38
228,154.37,3.23,19.04,93.26,4,353518.12
229,171.3,16.47,37.42,51.54,2,226246.84
230,57.77,18.55,2.38,69.82,1,200458.29
231,65.17,11.63,8.61,97.26,1,192939.8
232,125.11,2.73,23.43,52.54,5,279168.99
233,242.74,4.79,7.82,87.49,4,487404.76
234,163.15,14.07,27.18,62.88,2,266914.63
235,235.6,3.06,8.56,93.33,2,496660.36
236,207.94,24.74,3.97,87.3,1,339834.11
237,135.49,8.04,8.28,94.29,5,326353.84
238,203.72,11.27,16.91,60.8,1,352787.21
239,38.83,14.4,7.05,76.56,4,199988.36
240,58.47,15.16,5.39,88.96,2,202589.17
241,213.33,1.06,34.41,62.28,2,371580.95
242,206.32,4.81,12.82,61.54,2,398932.4
243,85.02,30.33,14.43,51.36,5,80625.31
244,149.12,1.04,2.21,97.93,1,399621.07
245,165.29,18.28,14.29,85.5,2,333995.21
246,221.56,17.64,10.59,81.78,2,469889.29
247,164.67,12.33,24.42,87.2,2,312458.22
248,123.7,15.67,8.22,76.58,1,240395.74
249,115.45,27.54,35.53,73.81,5,179199.12
250,126.56,29.6,37.19,72.48,2,161027.03
251,175.17,9.85,3.99,82.02,3,361159.59
252,221.51,11.96,4.3,60.08,2,386008.52
253,132.59,9.24,4.61,94.4,5,361678.02
254,88.29,17.32,24.78,90.59,2,183964.95
255,85.88,24.23,4.88,67.48,2,150629.97
256,195.39,8.76,34.1,78.93,2,350670.26
257,210.56,12.25,30.17,57.05,2,354414.38
258,57.63,32.63,32.79,98.62,1,74487.81
259,49.31,2.65,21.04,95.14,4,190447.52
260,162.8,16.67,39.87,96.09,1,234209.77
261,66.43,25.19,1.77,66.61,2,104435.34
262,212.3,6.12,16.05,58.46,2,347272.21
263,101.72,2.61,12.96,60.59,2,232972.01
264,65.93,5.7,37.95,54.5,4,111019.51
265,233.01,32.24,23.07,56.01,3,277224.11
266,70.59,1.31,32.25,53.57,5,155023.82
267,96.21,7.4,6.81,99.49,2,283620.82
268,68.03,2.06,39.15,53.7,5,188568.28
269,59.83,4.76,19.95,56.63,1,173135.9
270,39.55,22.09,19.75,91.36,3,145726.41
271,46.91,9.22,38.84,79.01,4,139314.11
272,72.55,20.35,15.23,88.72,3,181050.87
273,46.48,21.07,15.9,81.55,5,165940.3
274,162.1,29.88,23.39,94.11,2,269667.37
275,181.35,1.16,5.12,81.92,1,373765.29
276,119.63,30.01,12.84,76.11,4,192364.13
277,103.37,22.05,7.73,85.64,1,164626.13
278,143.47,6.53,4.13,72.37,4,332319.81
279,223.13,27.28,34.65,67.3,4,326959.17
280,217.99,30.09,23.57,73.38,5,315911.4
281,44.35,9.64,14.35,58.49,3,194155.04
282,74.02,32.24,16.35,89.83,5,125952.1
283,85.9,16.45,17.26,63.04,1,167894.98
284,88.62,21.52,25.33,57.68,3,132102.34
285,157.82,34.48,37.07,62.32,1,131863.55
286,124.5,13.29,37.31,92.1,4,254213.65
287,45.59,28.65,15.66,66.51,4,90884.34
288,115.33,11.83,13.17,84.3,5,306935.33
289,147.61,28.17,18.04,92.82,4,295877.04
290,56.86,21.42,22.72,53.89,2,88261.21
291,214.19,8.36,18.47,88.25,1,440296.85
292,46.17,15.08,26.35,65.38,5,117664.24
293,233.84,11.8,22.18,60.83,3,417251.86
294,56.31,3.66,12.83,84.45,1,198227.24
295,216.37,2.01,13.83,95.49,5,514039.02
296,229.07,12.78,15.14,64.75,5,472207.79
297,245.61,1.65,3.79,78.44,3,506816.85
298,207.44,6.63,6.64,64.49,4,352373.65
299,202.59,25.66,28.92,77.71,1,279877.46
300,173.13,25.08,15.56,81.09,1,309975.16
301,202.48,26.11,8.58,80.52,2,349649.7
302,63.93,11.78,22.51,81.18,4,202441.25
303,150.25,31.26,30.22,56.75,1,169887.69
304,145.56,21.19,10.3,84.68,1,282858.53
305,219.38,5.28,33.07,83.74,4,451959.18
306,134.5,5.89,37.1,84.13,4,304720.88
307,117.79,24.57,23.9,53.7,4,195604.09
308,172.51,6.88,26.76,72.34,4,341974.28
309,92.29,18.25,2.1,70.45,5,244655.52
310,65.05,34.72,37.82,54.34,4,50000.0
311,137.74,1.14,15.7,61.12,3,276402.13
312,124.63,1.56,36.96,72.05,5,307727.71
313,85.0,34.76,23.16,87.15,2,118248.66
314,114.02,20.88,0.18,61.85,1,221439.13
315,113.77,5.31,1.54,91.49,4,331031.16
316,105.41,31.51,27.22,77.29,2,116335.69
317,116.58,30.93,22.51,88.02,5,194627.34
318,182.43,19.23,1.06,73.63,3,374523.46
319,98.83,22.14,29.74,74.96,5,191623.99
320,239.0,10.29,34.09,80.99,1,371584.29
321,232.01,2.72,19.86,96.4,4,492159.13
322,138.4,21.22,18.63,74.59,3,286039.07
323,105.6,11.02,0.22,76.43,3,262059.75
324,150.12,23.56,31.47,80.1,2,183305.2
325,217.44,29.43,13.23,86.88,5,413966.73
326,175.31,1.62,35.15,53.59,2,307451.36
327,207.94,21.25,14.92,75.78,5,365601.62
328,149.54,8.86,22.6,74.08,3,287940.3
329,171.08,30.71,10.81,96.08,1,309055.45
330,96.95,9.62,6.42,74.68,5,248610.73
331,193.0,21.77,31.0,73.42,1,313146.89
332,78.52,19.82,19.86,98.11,2,218114.8
333,184.38,14.47,21.46,72.53,5,346932.8
334,220.05,24.04,38.62,59.04,5,304792.65
335,63.4,25.68,38.54,60.85,5,71509.7
336,167.09,20.28,34.23,54.76,3,249028.35
337,55.45,26.79,7.5,50.03,4,68917.35
338,191.03,34.44,23.77,71.6,2,193179.11
339,53.17,15.26,35.13,88.46,4,175962.5
340,236.23,18.5,14.98,86.67,3,450542.69
341,64.54,1.42,4.04,51.61,1,197785.7
342,241.16,28.06,32.44,78.5,3,364059.36
343,207.19,18.69,19.27,57.71,3,317596.97
344,162.64,14.87,22.58,97.05,2,350040.84
345,203.26,4.2,39.29,58.37,2,326278.33
346,205.95,31.25,24.29,81.33,3,285635.23
347,238.4,14.43,17.0,66.31,1,395106.3
348,89.48,24.21,14.8,82.08,1,221919.69
349,161.87,6.08,16.7,70.61,4,290315.92
350,55.44,33.69,4.74,87.98,2,127018.28
351,167.48,7.07,31.79,61.53,4,253807.71
352,71.83,7.78,33.51,95.29,3,214874.54
353,156.46,30.21,11.38,75.01,3,225288.05
354,158.07,32.03,12.15,87.8,3,198580.54
355,135.19,8.21,34.97,92.49,3,298552.01
356,147.37,16.97,0.96,99.94,5,345554.15
357,199.24,25.94,20.82,61.2,5,243143.63
358,206.84,30.86,18.55,64.34,2,295557.58
359,140.81,13.89,27.61,62.52,4,279167.46
360,163.91,18.58,6.54,63.14,5,336459.53
361,235.22,26.22,26.73,79.12,1,361540.93
362,60.74,25.86,15.07,99.68,4,180333.46
363,60.18,27.62,24.75,99.51,3,180576.5
364,53.86,20.38,1.6,76.34,5,221575.82
365,176.44,4.56,18.47,81.95,3,400101.61
366,125.0,31.74,20.89,93.0,5,189522.25
367,201.48,30.43,8.57,96.65,1,340486.56
368,179.31,28.14,5.58,60.19,1,261559.12
369,106.73,4.4,7.54,76.43,5,247305.92
370,228.15,7.95,13.77,91.64,3,482206.43
371,198.94,26.28,3.87,65.16,3,370787.64
372,93.17,1.79,37.89,71.99,1,213740.94
373,113.3,34.29,16.2,99.28,2,221373.9
374,102.6,13.82,32.36,99.25,5,259969.85
375,68.89,25.46,38.98,95.31,2,124453.08
376,66.77,31.18,3.23,89.92,3,161828.47
377,236.27,14.42,26.07,63.46,2,364115.68
378,129.15,11.85,34.86,66.04,2,190686.72
379,117.41,21.7,25.37,77.36,1,223806.15
380,191.88,20.75,17.16,78.04,5,378353.19
381,153.89,14.91,17.24,75.28,5,280310.21
382,236.27,21.46,1.44,81.83,1,444502.46
383,202.76,32.8,21.38,70.42,2,261490.71
384,138.06,16.9,39.74,87.46,3,250745.69
385,115.92,7.69,38.35,66.68,2,216488.04
386,247.13,13.83,1.62,66.53,4,485827.08
387,189.32,14.4,28.23,56.36,2,291647.01
388,239.51,5.46,12.07,59.44,1,465830.94
389,60.47,6.54,36.12,92.53,2,200023.99
390,217.86,24.28,1.8,72.31,3,385875.36
391,171.97,12.54,37.43,61.39,1,233510.57
392,61.21,33.47,33.5,87.97,5,146411.86
393,161.48,9.28,4.7,77.7,1,346877.36
394,182.51,4.36,2.39,51.06,1,355241.27
395,37.65,26.62,33.39,65.82,3,50000.0
396,132.68,30.96,6.23,58.85,3,156009.08
397,212.46,10.46,21.4,82.79,2,432214.0
398,98.5,7.87,36.63,63.75,2,187519.86
399,133.59,7.32,22.7,53.25,1,182233.46
400,130.1,18.75,15.89,52.75,4,237669.31
401,99.91,16.93,17.8,79.09,2,198282.21
402,232.47,9.82,2.52,51.09,1,437729.71
403,202.98,2.54,38.75,92.44,2,391888.03
404,58.78,17.37,12.43,57.77,5,154451.24
405,249.36,33.62,7.57,80.33,2,407741.27
406,224.03,23.19,11.44,72.23,5,362092.93
407,96.04,17.85,38.57,72.14,2,126976.66
408,214.93,4.76,3.77,53.59,1,386515.39
409,57.88,9.58,34.69,90.14,2,198886.88
410,249.81,11.02,28.31,94.65,2,439636.96
411,178.12,27.0,33.2,50.55,1,149320.39
412,174.78,30.81,39.04,58.93,3,202090.55
413,54.44,31.66,33.69,95.2,2,74338.62
414,227.86,34.48,37.74,77.47,4,280140.05
415,41.23,34.4,5.08,57.5,3,50000.0
416,86.78,33.4,31.83,60.14,3,50000.0
417,65.75,3.44,21.83,83.0,3,223118.29
418,202.01,5.68,21.74,86.24,1,422322.44
419,77.61,11.35,35.96,79.97,4,166521.67
420,230.79,19.8,38.87,97.66,1,424884.52
421,176.1,4.3,28.19,74.7,4,330713.84
422,42.77,29.76,19.32,65.01,5,59839.51
423,36.17,21.97,18.26,73.86,4,157738.95
424,46.11,19.44,15.45,67.98,3,133960.78
425,165.27,6.62,14.46,61.22,2,297920.04
426,207.32,9.61,15.66,52.3,5,364292.48
427,86.29,6.45,3.59,67.61,2,266126.5
428,217.62,29.97,3.1,85.57,3,400636.13
429,47.3,20.86,31.19,50.92,4,50983.08
430,207.21,25.99,17.84,71.96,5,331609.6
431,234.48,11.07,37.23,82.2,5,425729.55
432,201.0,13.62,24.49,80.52,1,330917.14
433,185.1,14.77,1.41,88.83,5,398326.33
434,215.17,26.84,6.3,90.53,1,368504.96
435,43.63,27.26,8.23,85.59,3,160972.33
436,78.38,8.03,39.03,55.14,5,182944.42
437,61.86,33.01,8.75,73.75,4,98093.62
438,143.47,5.1,20.63,80.17,5,321346.41
439,195.22,31.47,37.45,62.28,2,230003.21
440,170.45,4.41,39.09,52.13,2,249754.97
441,217.99,9.99,9.45,61.18,2,406672.12
442,68.37,29.78,1.96,72.74,2,123927.22
443,192.94,7.1,6.14,70.7,4,369824.01
444,76.5,15.06,2.53,58.83,3,158389.79
445,93.21,16.3,7.8,91.22,4,291121.27
446,187.63,9.34,22.74,96.28,3,388866.75
447,245.74,25.15,36.5,60.07,2,369888.72
448,166.48,29.95,21.49,96.48,1,249999.72
449,46.72,30.74,25.04,50.89,3,50000.0
450,167.51,12.54,8.07,96.25,5,445437.15
451,44.11,19.05,32.02,97.6,5,137750.28
452,225.09,9.45,24.71,50.6,2,314809.09
453,187.56,9.32,34.57,88.15,3,387926.27
454,72.22,6.48,37.95,98.51,4,204109.12
455,54.72,32.96,13.92,95.3,4,129338.35
456,74.46,31.19,3.62,98.54,1,149443.62
457,245.71,27.43,9.04,77.52,3,409778.07
458,133.59,18.6,17.51,53.91,1,174858.32
459,203.58,17.68,37.83,92.49,1,334967.45
460,171.83,19.01,15.13,80.69,4,333580.02
461,158.07,19.24,30.83,80.74,1,230179.21
462,66.2,15.78,21.62,70.86,2,137334.7
463,238.4,5.48,7.31,78.59,3,473168.25
464,99.79,5.27,12.83,57.68,4,198032.82
465,159.27,33.38,26.13,86.99,3,209908.35
466,185.45,17.39,26.91,53.75,1,266465.32
467,174.59,33.41,17.39,86.49,4,253434.84
468,237.23,6.56,9.15,92.45,5,504107.07
469,66.91,19.85,28.88,73.62,5,148292.84
470,144.3,8.06,6.75,75.49,4,309101.21
471,121.87,9.61,37.47,65.61,3,229809.18
472,136.95,2.02,7.52,98.47,5,415224.21
473,60.63,5.04,4.29,86.66,3,234429.26
474,63.83,32.17,19.91,68.45,1,80466.71
475,94.79,11.93,20.78,58.74,5,194863.56
476,100.51,21.68,20.33,60.98,2,164857.49
477,127.0,16.81,17.47,73.2,5,294864.68
478,166.36,14.62,39.79,97.13,2,316188.05
479,171.45,19.08,19.45,86.71,5,286965.64
480,123.54,7.37,19.12,60.76,3,259194.43
481,122.89,34.61,16.87,92.98,3,219861.66
482,81.79,28.82,2.67,68.91,2,133417.98
483,161.49,26.21,23.72,92.59,5,312148.17
484,103.16,16.94,9.12,62.08,1,175309.64
485,42.75,6.2,25.5,80.93,3,142674.57
486,124.96,32.3,2.03,96.33,2,229293.25
487,136.94,12.61,39.26,62.89,3,170028.38
488,83.5,2.7,18.76,84.65,2,242248.54
489,158.08,12.64,35.87,99.37,4,354999.41
490,156.64,28.01,19.02,57.53,2,150445.03
491,185.93,22.17,2.41,54.42,1,251014.37
492,174.31,26.53,32.89,83.71,1,222008.58
493,175.27,27.98,25.93,66.99,4,241658.98
494,102.99,8.21,31.27,53.56,2,168242.53
495,204.3,32.41,17.13,73.77,2,316393.77
496,153.07,15.89,25.52,87.69,4,326101.82
497,127.75,22.73,34.25,64.26,2,179167.27
498,169.59,1.08,25.24,66.75,2,329513.41
499,112.54,34.77,13.91,92.28,2,181666.33
500,145.24,10.55,26.5,76.0,2,254327.35
