Id,Math,AdvancedMath,Physics,Chemistry,Biology,English,Indonesian,Accepted
40,79.8,53.2,78.2,86.2,69.8,79.6,73.3,0
41,81.1,39.7,53.7,61.3,78.0,77.8,86.6,0
42,78.1,52.6,82.6,76.8,74.6,76.9,72.8,1
43,60.0,68.7,78.5,68.3,90.9,68.2,65.1,0
44,73.5,62.3,69.5,63.5,56.1,81.4,69.1,0
45,71.8,61.2,56.6,84.1,48.1,71.5,76.0,1
46,73.3,62.6,55.1,61.7,53.1,66.2,70.3,1
47,83.1,68.1,59.9,40.1,74.6,68.3,78.9,1
48,73.4,49.9,76.1,53.8,72.5,96.2,79.2,1
49,80.2,75.6,53.7,72.7,67.3,51.2,82.9,0
50,71.0,74.9,74.6,70.5,51.4,78.0,88.2,1
51,74.3,70.8,49.4,43.1,76.0,51.9,84.0,0
52,79.5,73.3,64.9,54.9,50.1,70.7,64.7,0
53,48.1,69.4,69.6,56.9,81.1,66.8,65.0,0
54,65.2,95.5,100.0,59.9,100.0,47.0,73.2,0
55,62.9,63.7,47.3,45.7,70.8,76.7,69.5,0
56,60.4,60.4,90.1,56.2,73.6,67.4,62.6,0
57,65.9,53.7,70.2,54.8,59.6,46.8,69.6,0
58,92.4,49.5,74.2,75.8,42.5,82.1,69.3,1
59,57.0,46.3,69.8,76.3,58.2,89.2,67.3,0
60,84.5,51.7,74.7,63.0,51.8,89.9,70.8,0
61,44.8,63.9,65.7,59.5,47.2,76.3,85.8,0
62,65.0,70.0,89.8,67.0,88.4,72.6,76.0,1
63,72.4,65.8,61.2,53.6,69.5,87.9,98.7,1
64,78.8,53.5,85.0,48.9,70.9,92.2,75.7,1
65,80.7,78.5,58.3,51.8,62.0,85.6,71.1,1
66,81.9,76.1,67.1,56.1,63.8,60.7,74.0,1
67,64.8,62.6,51.9,48.7,78.5,74.4,76.6,0
68,63.1,55.2,74.8,67.3,65.6,77.3,78.4,0
69,82.9,73.2,89.7,75.2,72.9,50.3,94.8,0
70,67.1,67.8,66.8,42.8,63.5,77.6,65.5,0
71,50.9,43.3,65.0,65.4,61.6,99.3,82.6,0
72,53.0,64.0,51.3,61.9,47.7,79.7,76.1,0
73,56.2,68.9,64.6,69.8,40.3,89.7,58.3,0
74,77.5,51.5,44.1,64.8,62.6,74.2,81.7,0
75,72.1,67.8,54.3,44.6,66.7,71.1,86.7,0
76,80.4,43.2,71.4,47.3,49.3,76.6,65.4,0
77,63.6,85.0,87.8,65.4,65.6,62.2,73.9,0
78,72.4,83.7,100.0,79.4,66.7,60.4,56.7,1
79,79.4,61.2,59.2,34.0,38.0,87.2,61.4,1
80,65.4,70.5,89.5,69.8,54.1,88.5,84.5,0
81,76.9,28.9,71.7,81.7,71.3,60.1,69.3,1
82,60.1,47.7,65.7,62.9,71.0,83.6,62.9,0
83,64.6,60.6,74.5,72.7,51.0,71.0,76.3,1
84,64.3,48.9,68.9,55.2,68.1,76.1,68.8,1
85,52.1,75.7,69.7,63.3,79.3,77.5,69.3,1
86,77.3,95.0,61.9,42.3,76.1,83.9,81.4,0
87,63.0,47.4,47.0,32.2,64.8,73.0,62.4,0
88,70.2,52.4,44.8,78.2,59.9,88.9,64.9,0
89,77.2,68.5,77.8,51.2,57.8,75.7,75.5,1
90,76.7,89.2,63.8,58.6,72.1,79.5,83.7,1
91,80.0,46.7,59.1,45.6,68.5,62.0,86.4,1
92,68.5,68.7,68.1,45.3,74.2,97.9,67.3,0
93,63.7,92.3,79.9,62.6,67.7,77.6,83.4,1
94,68.8,40.2,70.7,54.8,76.6,80.6,66.2,0
95,44.7,45.8,58.2,70.3,67.2,52.7,92.3,0
96,48.3,58.6,86.4,71.3,76.2,62.1,62.7,1
97,50.2,57.2,91.7,69.5,77.3,86.9,87.3,0
98,55.0,77.2,75.4,68.3,55.5,75.4,67.4,1
99,76.0,68.6,82.6,87.1,42.5,49.0,94.1,0
100,56.4,38.4,86.6,50.1,86.1,84.5,79.9,1
101,64.3,72.7,85.0,64.2,69.3,65.5,63.8,1
102,89.5,56.3,77.2,80.9,43.7,88.9,68.8,1
103,64.7,84.1,77.0,82.7,56.7,70.9,81.8,0
104,81.1,55.6,75.8,45.1,76.0,74.5,84.5,0
105,56.0,55.5,51.5,60.6,62.4,86.1,73.3,0
106,66.9,73.1,78.5,84.0,59.3,61.2,74.4,1
107,55.7,76.4,47.7,72.1,84.2,60.1,81.6,0
108,64.9,71.7,56.1,67.7,52.4,69.6,75.3,0
109,82.6,39.7,87.6,62.0,55.6,81.9,61.1,1
110,44.1,73.1,80.6,59.6,68.7,56.0,65.9,0
111,76.5,49.5,90.3,69.0,71.1,52.0,76.4,0
112,73.6,68.5,63.9,61.5,72.5,81.9,86.2,1
113,61.1,43.6,50.7,64.4,77.8,64.8,90.2,0
114,48.3,71.7,64.4,66.1,68.6,67.3,81.8,0
115,71.1,52.9,69.5,55.5,72.4,49.7,76.9,0
116,62.1,45.8,69.2,72.4,62.6,63.9,81.5,0
117,73.5,75.7,85.0,100.0,66.8,71.9,67.3,1
118,70.3,68.6,62.6,40.1,67.4,83.2,72.5,0
119,94.0,55.8,73.3,69.5,68.8,62.7,65.8,1
120,66.4,86.8,53.2,54.4,76.0,91.9,61.5,0
121,54.6,58.4,74.8,73.1,73.2,63.8,77.3,0
122,72.7,65.5,68.0,65.7,66.6,63.8,75.9,0
123,73.3,69.0,56.8,75.7,55.5,90.4,80.9,1
124,90.4,55.7,64.5,81.5,66.9,74.5,79.5,1
125,82.5,72.1,65.2,67.7,65.6,65.4,76.4,0
126,75.4,57.0,63.9,80.8,68.5,70.1,79.6,1
127,91.9,58.8,94.6,32.2,94.7,88.2,73.6,1
128,52.2,85.4,66.5,87.3,59.2,89.6,78.1,0
129,60.4,49.4,64.3,70.3,71.5,62.2,66.7,0
130,56.1,28.8,36.5,80.1,79.9,71.5,77.7,0
131,64.2,89.2,54.6,47.9,67.3,73.1,80.7,1
132,49.3,100.0,64.1,53.4,96.4,60.2,67.3,0
133,79.5,58.9,57.7,67.0,61.1,71.3,74.5,0
134,66.7,35.9,88.7,64.8,70.2,72.1,67.8,0
135,47.9,60.3,65.5,69.0,55.6,85.7,68.7,0
136,54.8,60.7,87.3,80.2,61.4,86.5,62.8,0
137,74.7,62.2,68.9,40.3,69.2,68.0,86.7,1
138,82.6,48.3,68.6,78.6,77.0,69.4,84.7,1
139,100.0,73.7,66.7,65.1,70.1,80.0,79.4,1
140,100.0,72.9,68.1,62.1,82.4,65.0,93.7,0
141,76.2,42.6,93.8,44.4,64.8,79.1,72.1,0
142,55.2,75.5,33.2,72.0,61.7,70.9,100.0,0
143,38.0,95.8,38.0,31.2,100.0,60.4,71.7,0
144,74.0,67.6,59.9,74.1,71.1,60.5,76.6,1
145,57.8,59.9,68.2,44.1,56.6,89.4,70.0,0
146,63.8,62.9,78.4,65.7,57.0,70.1,77.7,0
147,60.8,74.2,75.1,63.3,53.7,91.7,82.4,0
148,67.9,39.0,62.2,81.4,78.2,65.8,72.9,1
149,86.0,67.5,83.3,62.5,61.3,75.5,91.8,1
150,72.4,59.1,83.5,55.3,67.7,100.0,76.4,1
151,67.6,92.7,70.8,57.9,65.2,59.3,76.7,1
152,54.5,62.4,82.4,82.8,75.5,49.2,64.9,0
153,44.9,90.0,72.1,72.5,55.0,87.4,78.2,0
154,62.7,48.4,59.6,59.6,52.0,62.1,72.7,0
155,69.2,73.8,78.5,61.7,68.9,71.8,67.9,1
156,96.5,69.8,69.7,43.1,73.8,65.0,66.2,0
157,72.0,52.0,68.0,70.4,70.3,75.2,100.0,0
158,84.7,67.7,90.1,40.4,55.5,60.6,71.4,1
159,62.5,83.2,31.2,75.5,74.8,69.8,59.4,0
160,52.2,60.1,46.7,66.8,56.3,77.4,67.0,0
161,55.5,39.6,50.2,98.4,59.2,59.9,73.5,0
162,59.1,64.7,62.6,49.6,53.7,63.6,79.5,0
163,100.0,51.5,64.2,63.6,82.9,67.8,79.5,1
164,57.7,59.9,45.4,90.2,74.2,54.9,80.8,0
165,82.6,63.8,53.2,81.7,73.9,66.9,67.6,1
166,56.5,39.4,55.1,55.3,82.2,73.4,77.4,0
167,84.0,40.8,100.0,68.1,100.0,67.2,65.2,0
168,75.8,72.2,95.0,65.0,43.8,68.7,67.8,1
169,67.7,57.2,61.8,68.9,56.4,71.8,64.8,0
170,69.4,26.5,62.5,55.2,58.0,64.1,62.1,0
171,60.2,76.8,50.8,63.7,54.9,80.3,84.6,1
172,76.7,69.1,39.4,42.6,52.0,89.2,80.9,0
173,63.2,54.3,66.2,66.9,62.1,66.4,83.8,0
174,51.6,45.2,53.0,71.3,50.2,77.8,74.4,0
175,50.8,77.5,66.7,61.8,70.4,69.1,81.8,0
176,72.6,70.2,44.0,42.4,66.7,76.4,56.4,0
177,93.7,100.0,56.6,78.8,72.3,90.8,82.6,0
178,72.4,71.3,70.2,70.1,72.6,78.1,75.8,1
179,68.2,70.8,73.5,54.8,73.8,50.7,80.3,1
180,74.3,62.5,74.3,61.1,61.1,77.4,77.8,0
181,89.6,77.3,48.2,44.0,93.6,86.8,64.1,0
182,73.3,74.4,80.8,50.6,69.0,69.3,59.0,1
183,63.8,83.8,56.0,57.5,41.8,83.9,66.9,0
184,86.6,57.2,77.5,82.2,53.0,63.7,79.6,0
185,76.4,58.5,67.8,56.0,43.4,54.2,80.9,0
186,93.0,57.8,47.4,74.0,66.2,73.7,60.3,0
187,72.7,76.9,63.3,57.5,64.4,50.9,64.2,0
188,51.6,87.5,73.5,68.5,59.9,69.1,66.8,1
189,49.5,58.1,77.2,63.0,92.1,87.4,70.4,1
190,94.8,58.6,65.9,77.2,73.1,49.1,60.4,1
191,95.9,69.7,91.0,57.5,75.4,56.6,59.8,0
192,67.3,61.3,83.1,43.0,53.9,59.6,65.8,0
193,64.3,79.3,64.2,45.7,53.0,71.2,74.9,1
194,91.9,31.2,79.3,57.6,66.5,67.6,62.2,0
195,53.4,52.6,97.0,47.5,68.2,88.8,72.8,0
196,56.6,53.3,97.4,70.7,41.9,83.5,84.6,0
197,79.6,30.2,49.6,58.5,63.7,77.9,61.0,0
198,64.1,50.5,54.1,98.2,66.2,73.7,71.9,0
199,69.9,51.3,90.3,40.7,63.2,76.7,84.2,0
200,67.5,62.0,52.1,67.9,55.4,61.7,69.8,0
201,75.1,81.7,48.2,49.2,59.0,82.3,68.3,1
202,91.1,61.3,60.7,58.1,63.7,58.7,85.6,0
203,71.4,49.5,74.3,67.0,67.2,82.0,70.9,0
204,79.7,64.1,66.5,32.4,73.9,86.2,85.0,0
205,39.2,80.7,58.2,68.3,80.1,74.5,78.3,0
206,69.3,50.4,57.9,91.6,62.2,69.9,70.6,0
207,57.4,51.3,57.3,58.7,60.1,76.8,78.8,0
208,51.7,73.4,54.8,68.6,71.7,37.7,77.2,1
209,56.8,61.7,100.0,79.3,73.9,75.6,84.2,0
210,65.0,74.7,72.5,62.7,60.4,70.6,68.5,0
211,83.7,64.8,81.3,56.9,76.3,71.4,74.4,1
212,50.1,75.5,60.7,33.1,78.7,80.5,73.4,0
213,70.5,49.5,65.2,74.0,82.8,71.1,81.0,0
214,62.7,64.8,57.3,63.4,89.1,58.3,63.7,0
215,65.1,61.8,28.2,50.8,54.7,70.3,84.2,1
216,85.0,46.8,47.3,66.8,66.2,72.8,78.7,0
217,78.1,41.5,40.8,56.8,66.1,73.4,60.8,0
218,90.1,75.3,34.3,57.6,64.7,73.9,86.1,0
219,67.7,59.7,50.1,73.5,57.6,84.5,96.3,0
220,59.6,49.7,87.9,46.3,46.7,59.0,84.0,1
221,66.6,63.6,67.3,79.7,67.2,74.1,88.3,0
222,73.6,81.9,87.4,45.4,56.0,87.5,74.9,1
223,72.6,30.8,74.2,55.7,67.1,51.2,57.4,1
224,53.7,42.6,79.7,91.9,55.7,74.2,55.6,1
225,71.4,51.2,54.5,80.8,51.7,65.0,76.6,1
226,73.4,86.9,75.9,66.4,69.0,67.6,68.1,1
227,100.0,69.2,78.9,51.8,68.0,61.1,64.9,0
228,98.2,76.5,59.4,57.6,73.5,70.0,73.4,1
229,57.2,47.9,76.4,66.0,94.4,94.1,80.2,0
230,65.7,48.2,76.5,65.5,69.6,56.8,59.5,0
231,48.0,71.7,59.8,63.7,72.3,58.0,69.5,0
232,61.1,65.9,51.2,64.6,52.0,56.4,89.1,0
233,74.7,73.2,50.2,62.0,49.3,92.7,63.2,1
234,88.1,62.2,69.3,44.8,86.6,66.5,82.7,0
235,59.1,69.2,72.9,57.8,54.0,71.7,69.2,1
236,60.2,67.4,56.1,77.8,52.4,67.2,79.5,1
237,37.8,76.7,68.4,45.8,65.5,60.7,85.0,0
238,67.6,77.1,76.6,62.3,64.8,69.2,81.4,0
239,54.1,40.7,77.3,53.5,54.3,100.0,83.1,0
240,62.1,31.3,91.3,66.6,62.0,88.7,62.5,0
241,56.8,80.0,87.2,59.6,82.0,61.8,85.1,1
242,68.6,82.8,53.0,85.7,55.5,79.8,65.5,0
243,43.6,49.7,93.3,72.1,47.9,62.0,76.6,0
244,48.0,37.1,60.0,46.6,78.3,50.7,76.6,0
245,100.0,66.5,83.7,74.4,72.4,84.2,78.9,1
246,50.7,79.0,69.0,54.2,57.9,85.9,77.4,1
247,53.5,92.0,61.8,56.9,45.4,84.6,65.6,0
248,97.6,72.7,40.9,69.4,56.3,66.4,60.5,1
249,100.0,59.4,65.4,58.1,65.3,70.0,82.7,0
250,52.4,51.6,44.6,77.5,81.2,81.0,75.9,0
251,64.5,65.2,82.5,54.2,52.5,76.7,85.5,1
252,75.1,60.5,90.8,56.3,64.9,67.3,73.6,1
253,95.9,49.8,56.0,55.8,74.8,52.6,59.9,1
254,55.2,95.7,72.5,57.1,35.0,73.4,83.7,0
255,66.3,91.8,57.1,80.4,79.4,84.9,70.3,1
256,81.7,82.0,58.6,73.8,50.6,57.6,77.4,0
257,76.5,51.2,79.6,88.9,70.3,79.7,67.5,1
258,64.4,77.8,67.4,96.7,69.2,76.0,90.4,0
259,68.0,74.6,94.1,50.6,80.1,81.0,65.2,1
260,49.4,71.6,60.8,66.0,73.2,82.5,70.6,0
261,66.4,83.7,83.0,48.5,35.1,63.7,75.1,1
262,66.0,74.5,69.5,54.1,55.8,52.6,63.1,0
263,73.5,76.1,79.9,56.2,67.8,65.6,77.3,0
264,61.7,74.6,61.3,50.2,63.5,82.7,90.1,0
265,77.1,70.1,67.3,50.3,72.2,65.5,69.1,0
266,85.2,38.2,66.3,63.0,76.3,63.7,78.0,0
267,72.3,66.3,55.5,48.0,73.9,50.1,46.5,0
268,75.3,56.7,77.9,76.8,63.2,93.0,73.6,1
269,70.8,45.8,77.8,52.2,42.0,81.9,70.9,1
270,70.0,90.2,76.9,100.0,60.1,81.2,65.8,0
271,59.2,90.9,91.1,58.7,71.4,83.6,84.8,0
272,74.7,85.4,89.7,66.0,51.8,78.9,70.7,1
273,68.5,68.8,62.4,46.9,74.2,69.1,72.2,0
274,100.0,85.3,73.6,88.9,77.8,70.0,70.2,1
275,93.6,65.2,58.6,80.7,67.6,66.9,54.8,1
276,75.8,68.0,68.4,69.2,26.2,100.0,62.7,0
277,58.6,48.6,59.0,46.1,49.4,78.7,83.6,0
278,53.3,71.0,92.3,67.9,90.5,66.4,52.9,1
279,87.9,65.9,73.5,49.3,58.9,77.6,66.3,1
280,73.9,45.5,64.7,85.5,40.2,59.9,70.0,0
281,77.2,64.2,85.9,76.3,82.1,90.1,91.4,1
282,43.8,63.8,35.4,66.3,66.2,64.1,81.7,0
283,83.9,92.0,37.8,30.9,80.4,78.0,68.4,1
284,76.8,78.4,79.9,51.2,69.6,84.8,87.0,1
285,53.3,65.2,68.9,74.6,72.0,76.6,66.6,0
286,62.9,68.7,71.8,82.0,70.7,73.1,84.1,0
287,74.0,65.7,48.1,80.5,75.1,72.1,60.4,0
288,70.8,62.0,67.7,42.7,95.6,71.3,84.7,0
289,65.6,48.8,98.1,69.2,78.6,65.1,69.9,1
290,68.4,62.7,80.4,79.2,45.5,66.6,63.7,0
291,66.2,53.8,70.5,41.8,71.8,89.8,71.8,1
292,72.3,46.2,61.4,64.9,80.8,70.7,76.8,0
293,92.1,72.7,62.1,68.8,81.6,62.6,69.1,1
294,31.5,70.9,36.1,60.8,60.5,65.8,79.5,0
295,66.4,38.2,71.9,39.1,81.1,85.2,68.2,0
296,72.6,63.2,80.7,60.4,78.1,80.1,80.2,0
297,74.4,79.9,44.4,60.4,99.4,78.7,78.4,0
298,64.4,80.9,58.1,62.9,56.2,68.9,73.4,1
299,43.6,80.4,50.6,57.1,59.4,78.9,69.6,0
300,74.9,65.6,53.5,58.8,62.0,64.3,75.5,1
301,95.9,52.3,68.8,64.4,59.6,68.9,79.5,1
302,47.0,48.7,36.7,71.2,54.4,83.6,94.6,0
303,83.0,70.2,77.2,60.7,30.1,82.5,83.4,1
304,65.1,70.7,79.3,59.3,60.3,60.2,83.8,0
305,69.1,84.3,64.2,66.3,70.8,61.7,100.0,1
306,54.2,81.5,30.8,38.1,59.6,73.3,79.2,0
307,65.0,63.0,53.1,71.7,91.2,92.7,78.8,1
308,89.5,46.3,86.5,65.0,66.2,49.0,81.0,0
309,78.7,60.2,26.3,65.6,82.8,75.3,63.9,0
310,96.0,68.3,62.8,78.5,69.4,55.5,69.6,1
311,87.7,62.0,50.3,37.7,76.7,64.4,68.9,0
312,76.6,56.3,80.1,37.4,69.6,67.6,80.5,0
313,96.2,68.8,57.9,68.8,83.8,67.0,72.3,0
314,76.6,57.4,74.1,64.9,66.7,65.6,75.4,0
315,82.4,55.6,76.5,67.4,72.4,72.1,84.9,0
316,65.6,69.7,95.5,58.5,70.8,65.6,82.6,0
317,71.0,59.0,65.0,74.3,62.3,54.5,72.4,0
318,59.5,68.7,73.6,78.1,71.3,81.4,67.3,0
319,84.8,69.1,45.7,71.8,95.0,81.0,85.4,1
320,52.3,47.9,85.9,61.3,62.5,82.1,81.7,0
321,81.7,57.8,56.6,35.5,71.5,53.5,57.9,0
322,67.1,86.6,59.6,75.8,82.4,75.6,70.9,0
323,87.6,47.6,67.7,82.1,80.8,80.1,75.7,1
324,81.3,33.3,44.6,74.0,66.2,59.6,81.8,0
325,97.3,37.1,71.4,52.7,35.0,72.1,83.1,0
326,81.0,65.4,82.5,74.4,72.7,70.6,76.8,1
327,46.4,65.5,72.4,77.0,37.1,94.1,79.9,0
328,69.0,63.2,44.2,86.8,85.1,95.1,74.6,0
329,52.4,83.2,66.1,52.7,68.2,52.0,67.3,0
330,62.2,24.9,79.1,61.8,79.0,100.0,71.4,0
331,92.7,70.9,39.8,75.5,54.3,61.0,74.2,0
332,79.6,88.4,51.9,65.8,45.8,83.8,73.7,1
333,59.5,48.1,81.1,49.4,69.4,83.6,55.1,0
334,54.8,59.3,72.1,70.8,65.6,60.1,70.0,0
335,70.5,53.7,74.2,73.1,59.6,77.9,74.6,1
336,51.8,51.6,95.9,66.2,67.1,70.7,71.2,0
337,59.9,60.1,75.0,68.1,100.0,78.7,71.5,1
338,74.7,86.4,77.9,61.4,76.8,74.8,78.9,0
339,87.3,92.6,100.0,85.7,79.6,86.4,63.2,1
340,79.1,60.0,64.8,52.4,77.0,72.9,57.7,0
341,35.6,93.6,56.0,56.8,85.2,70.0,70.5,0
342,74.6,65.5,74.4,65.2,63.5,85.2,81.6,0
343,71.1,91.3,74.6,77.3,39.3,79.0,90.9,0
344,76.2,63.6,60.1,44.0,63.5,80.8,81.8,1
345,94.2,67.0,52.5,46.7,76.6,64.0,59.3,1
346,39.1,70.5,100.0,36.5,53.4,59.5,71.7,0
347,61.1,100.0,72.9,65.5,63.7,65.2,76.6,1
348,78.9,77.8,57.0,49.3,57.0,64.6,75.8,1
349,46.3,54.4,81.7,59.6,85.5,81.4,79.4,1
350,92.1,79.5,66.4,74.3,75.7,83.7,64.8,0
351,75.5,59.6,64.2,56.0,74.5,70.1,74.6,0
352,82.7,57.7,76.4,68.2,74.1,89.2,78.2,0
353,61.4,78.6,48.6,60.8,65.5,88.4,82.3,0
354,82.2,65.5,73.3,74.4,68.6,74.9,65.9,1
355,86.0,69.2,96.7,71.7,50.6,62.1,70.5,1
356,73.5,65.2,75.0,55.3,37.6,90.9,47.0,0
357,73.5,70.0,62.4,62.6,68.0,71.3,67.8,1
358,74.1,71.4,60.4,79.6,70.2,73.5,68.8,0
359,57.0,35.9,61.8,70.5,81.7,67.9,63.8,0
360,67.8,75.0,64.2,45.4,86.4,61.3,75.7,1
361,67.7,50.3,62.3,74.2,86.4,54.4,73.4,0
362,75.8,43.4,81.7,49.8,53.0,79.6,51.4,0
363,85.0,64.1,42.0,84.8,61.4,62.6,76.2,0
364,54.1,66.3,80.9,79.3,72.2,100.0,64.7,1
365,68.1,54.6,62.3,69.1,98.9,59.0,78.9,0
366,92.2,77.5,73.7,67.2,85.2,56.9,61.2,0
367,58.8,44.9,51.1,62.1,80.6,78.1,74.3,0
368,57.7,58.9,87.9,74.5,61.0,90.4,71.2,1
369,73.0,56.2,86.7,59.8,54.5,72.8,77.0,1
370,82.7,64.3,82.4,68.3,76.3,78.9,75.2,0
371,70.2,69.2,45.3,77.2,51.7,49.9,71.4,0
372,89.9,49.9,80.4,57.1,62.9,63.9,58.6,0
373,82.9,75.9,74.1,56.4,64.5,59.1,59.2,1
374,82.6,65.9,43.9,48.3,86.7,49.3,68.2,0
375,78.3,36.6,67.6,50.1,61.4,73.4,73.9,1
376,100.0,35.6,73.5,39.4,34.3,45.1,67.9,0
377,66.9,64.8,76.3,75.2,72.6,56.1,80.3,1
378,39.9,61.7,70.7,90.3,56.9,65.6,71.2,0
379,94.1,63.4,72.4,85.0,66.6,62.0,64.3,0
380,63.1,64.6,90.1,42.2,64.9,76.8,71.2,0
381,71.6,68.4,86.4,75.1,62.4,75.7,76.3,1
382,89.6,79.2,25.0,84.9,76.3,82.7,77.2,1
383,46.0,48.3,63.2,58.6,46.1,81.0,92.8,0
384,51.2,47.4,65.5,66.4,59.3,85.7,67.3,0
385,46.0,48.6,41.7,36.9,74.9,72.0,73.3,0
386,58.1,69.3,69.4,68.7,58.0,75.6,78.3,1
387,76.6,83.7,86.7,50.1,45.1,78.1,73.8,1
388,77.9,58.5,51.7,67.8,74.7,73.7,69.0,0
389,74.1,27.5,73.0,43.1,80.6,67.2,58.5,0
390,48.8,39.4,54.3,72.6,65.4,68.0,68.9,0
391,35.3,52.5,57.9,79.3,40.5,62.2,63.3,0
392,70.8,56.6,90.2,54.0,75.2,77.1,56.7,0
393,62.9,58.9,59.9,49.1,44.4,70.9,66.0,0
394,76.9,65.6,74.9,34.8,70.0,64.0,63.5,0
395,80.5,60.3,39.9,61.3,54.5,64.1,79.8,0
396,72.1,80.7,95.9,56.9,50.9,57.5,80.0,0
397,81.4,54.9,77.0,43.3,60.3,83.7,65.0,0
398,73.4,52.1,65.3,71.3,63.6,72.9,71.4,0
399,78.0,72.2,76.6,58.7,57.6,61.6,55.4,1
400,59.4,42.0,46.9,49.9,73.7,81.7,69.1,0
401,67.3,70.8,85.7,57.2,60.2,65.3,78.0,1
402,73.0,66.5,63.1,80.0,78.7,55.1,82.2,1
403,82.3,62.8,64.9,73.4,69.7,84.3,66.9,0
404,64.1,88.8,60.6,63.2,56.9,65.6,84.5,0
405,77.8,55.7,59.3,73.7,54.7,67.1,58.8,1
406,66.0,95.9,78.4,48.7,44.6,72.5,61.5,1
407,68.2,61.6,71.8,65.5,69.8,85.7,81.1,0
408,82.4,45.8,77.8,67.1,61.4,72.2,90.7,0
409,40.1,66.0,67.9,58.4,35.2,57.6,78.9,0
410,50.6,48.9,75.7,71.1,59.0,78.5,73.6,0
411,47.8,53.7,61.7,54.1,54.3,66.2,52.0,0
412,35.0,71.0,100.0,72.1,86.5,94.7,53.8,1
413,59.8,73.3,44.5,72.7,43.9,72.0,75.3,0
414,81.2,55.7,86.9,24.2,47.3,45.2,70.4,0
415,65.7,79.8,88.5,81.7,80.4,76.3,62.9,1
416,73.0,82.4,55.2,22.3,83.6,95.3,74.7,0
417,86.3,86.5,100.0,56.4,56.3,90.9,75.2,1
418,89.9,72.9,82.9,79.4,57.8,94.0,83.4,1
419,69.0,85.5,82.6,60.6,74.0,59.8,75.4,0
420,90.3,36.8,68.4,44.5,35.7,82.9,86.3,0
421,71.4,60.2,64.7,49.7,41.8,63.3,74.1,0
422,57.4,52.0,64.9,79.4,62.4,74.7,72.8,0
423,61.1,66.8,73.9,38.1,86.1,56.7,84.6,0
424,47.8,56.4,89.0,80.8,60.3,64.3,64.2,0
425,56.7,62.5,70.7,64.2,67.3,63.9,100.0,1
426,64.6,93.2,54.3,48.3,80.7,82.8,77.8,1
427,82.1,62.5,80.4,56.8,93.4,81.6,77.8,1
428,95.8,71.2,81.8,50.8,58.5,75.3,79.3,1
429,49.3,61.5,77.8,77.1,65.8,55.8,92.8,0
430,75.9,66.1,79.2,75.3,89.7,68.3,81.9,0
431,54.4,65.1,63.9,40.9,46.2,63.0,57.9,0
432,77.1,71.7,54.1,59.3,79.4,82.4,88.0,1
433,68.0,82.5,55.0,52.9,52.8,86.1,70.6,1
434,42.5,89.7,43.5,83.1,67.3,84.7,75.1,1
